filepath,xmin,xmax,ymin,ymax
/home/mothikaa/ANPR/images/N177.xml,331,538,263,317
/home/mothikaa/ANPR/images/N124.xml,165,328,276,324
/home/mothikaa/ANPR/images/N200.xml,196,442,227,293
/home/mothikaa/ANPR/images/N236.xml,313,380,111,141
/home/mothikaa/ANPR/images/N94.xml,63,243,234,274
/home/mothikaa/ANPR/images/N227.xml,626,768,280,359
/home/mothikaa/ANPR/images/N204.xml,94,206,307,334
/home/mothikaa/ANPR/images/N202.xml,157,329,260,296
/home/mothikaa/ANPR/images/N153.xml,133,279,352,385
/home/mothikaa/ANPR/images/N59.xml,1238,2468,1012,1269
/home/mothikaa/ANPR/images/N218.xml,176,301,212,238
/home/mothikaa/ANPR/images/N70.xml,186,395,376,430
/home/mothikaa/ANPR/images/N104.xml,66,154,166,197
/home/mothikaa/ANPR/images/N158.xml,122,224,268,292
/home/mothikaa/ANPR/images/N219.xml,1,300,92,154
/home/mothikaa/ANPR/images/N86.xml,448,638,273,338
/home/mothikaa/ANPR/images/N62.xml,289,421,188,232
/home/mothikaa/ANPR/images/N50.xml,101,397,223,291
/home/mothikaa/ANPR/images/N156.xml,49,106,230,249
/home/mothikaa/ANPR/images/N147.xml,424,613,548,591
/home/mothikaa/ANPR/images/N176.xml,195,383,320,358
/home/mothikaa/ANPR/images/N155.xml,145,313,167,201
/home/mothikaa/ANPR/images/N64.xml,19,94,249,314
/home/mothikaa/ANPR/images/N84.xml,235,349,319,352
/home/mothikaa/ANPR/images/N141.xml,150,348,255,296
/home/mothikaa/ANPR/images/N142.xml,66,174,234,259
/home/mothikaa/ANPR/images/N128.xml,58,221,198,271
/home/mothikaa/ANPR/images/N6.xml,858,1122,611,676
/home/mothikaa/ANPR/images/N237.xml,121,243,163,198
/home/mothikaa/ANPR/images/N73.xml,124,209,102,130
/home/mothikaa/ANPR/images/N109.xml,148,239,250,320
/home/mothikaa/ANPR/images/N17.xml,88,216,507,556
/home/mothikaa/ANPR/images/N221.xml,104,209,153,182
/home/mothikaa/ANPR/images/N213.xml,131,209,129,153
/home/mothikaa/ANPR/images/N127.xml,24,142,209,245
/home/mothikaa/ANPR/images/N3.xml,73,260,381,462
/home/mothikaa/ANPR/images/N217.xml,404,585,429,468
/home/mothikaa/ANPR/images/N43.xml,142,298,281,327
/home/mothikaa/ANPR/images/N106.xml,137,262,249,290
/home/mothikaa/ANPR/images/N189.xml,178,381,121,181
/home/mothikaa/ANPR/images/N167.xml,345,848,242,416
/home/mothikaa/ANPR/images/N72.xml,186,325,177,212
/home/mothikaa/ANPR/images/N36.xml,392,517,161,213
/home/mothikaa/ANPR/images/N205.xml,322,479,169,203
/home/mothikaa/ANPR/images/N247.xml,641,886,518,578
/home/mothikaa/ANPR/images/N164.xml,248,421,121,174
/home/mothikaa/ANPR/images/N201.xml,157,290,193,229
/home/mothikaa/ANPR/images/N234.xml,224,307,158,183
/home/mothikaa/ANPR/images/N171.xml,13,444,137,270
/home/mothikaa/ANPR/images/N229.xml,358,1031,294,540
/home/mothikaa/ANPR/images/N137.xml,401,593,456,493
/home/mothikaa/ANPR/images/N195.xml,186,367,137,232
/home/mothikaa/ANPR/images/N56.xml,302,486,265,303
/home/mothikaa/ANPR/images/N118.xml,532,852,636,706
/home/mothikaa/ANPR/images/N121.xml,311,506,324,370
/home/mothikaa/ANPR/images/N214.xml,167,277,189,226
/home/mothikaa/ANPR/images/N165.xml,186,374,290,335
/home/mothikaa/ANPR/images/N91.xml,239,347,187,211
/home/mothikaa/ANPR/images/N222.xml,127,183,122,156
/home/mothikaa/ANPR/images/N163.xml,230,316,203,231
/home/mothikaa/ANPR/images/N160.xml,153,251,196,217
/home/mothikaa/ANPR/images/N119.xml,180,559,216,314
/home/mothikaa/ANPR/images/N24.xml,151,280,193,224
/home/mothikaa/ANPR/images/N186.xml,464,561,286,344
/home/mothikaa/ANPR/images/N183.xml,216,343,155,190
/home/mothikaa/ANPR/images/N215.xml,85,258,390,446
/home/mothikaa/ANPR/images/N184.xml,229,1391,204,660
/home/mothikaa/ANPR/images/N1.xml,1093,1396,645,727
/home/mothikaa/ANPR/images/N185.xml,321,559,420,484
/home/mothikaa/ANPR/images/N69.xml,637,840,464,549
/home/mothikaa/ANPR/images/N238.xml,165,341,129,170
/home/mothikaa/ANPR/images/N244.xml,335,452,313,343
/home/mothikaa/ANPR/images/N35.xml,97,229,338,378
/home/mothikaa/ANPR/images/N89.xml,150,378,217,269
/home/mothikaa/ANPR/images/N51.xml,383,491,212,248
/home/mothikaa/ANPR/images/N211.xml,74,160,149,175
/home/mothikaa/ANPR/images/N33.xml,856,1218,665,751
/home/mothikaa/ANPR/images/N175.xml,183,250,205,229
/home/mothikaa/ANPR/images/N67.xml,164,336,162,195
/home/mothikaa/ANPR/images/N37.xml,77,200,231,290
/home/mothikaa/ANPR/images/N81.xml,66,174,302,332
/home/mothikaa/ANPR/images/N11.xml,131,187,130,144
/home/mothikaa/ANPR/images/N207.xml,213,339,280,307
/home/mothikaa/ANPR/images/N239.xml,106,263,238,276
/home/mothikaa/ANPR/images/N32.xml,360,500,171,206
/home/mothikaa/ANPR/images/N208.xml,199,274,203,221
/home/mothikaa/ANPR/images/N22.xml,493,858,885,967
/home/mothikaa/ANPR/images/N188.xml,587,711,760,832
/home/mothikaa/ANPR/images/N20.xml,498,796,729,814
/home/mothikaa/ANPR/images/N2.xml,1804,2493,1734,1882
/home/mothikaa/ANPR/images/N241.xml,251,542,308,385
/home/mothikaa/ANPR/images/N61.xml,158,350,252,297
/home/mothikaa/ANPR/images/N111.xml,80,239,364,402
/home/mothikaa/ANPR/images/N246.xml,23,160,261,321
/home/mothikaa/ANPR/images/N216.xml,322,682,300,371
/home/mothikaa/ANPR/images/N134.xml,230,365,188,219
/home/mothikaa/ANPR/images/N112.xml,179,347,256,290
/home/mothikaa/ANPR/images/N242.xml,202,386,190,227
/home/mothikaa/ANPR/images/N212.xml,159,353,115,173
/home/mothikaa/ANPR/images/N181.xml,361,499,381,432
/home/mothikaa/ANPR/images/N42.xml,163,373,253,327
/home/mothikaa/ANPR/images/N190.xml,896,1558,814,969
/home/mothikaa/ANPR/images/N99.xml,158,389,129,193
/home/mothikaa/ANPR/images/N97.xml,175,290,228,255
/home/mothikaa/ANPR/images/N19.xml,99,216,367,423
/home/mothikaa/ANPR/images/N31.xml,256,381,233,261
/home/mothikaa/ANPR/images/N54.xml,189,299,162,188
/home/mothikaa/ANPR/images/N139.xml,341,607,954,1011
/home/mothikaa/ANPR/images/N178.xml,210,335,289,351
/home/mothikaa/ANPR/images/N174.xml,315,665,442,531
/home/mothikaa/ANPR/images/N169.xml,167,413,208,263
/home/mothikaa/ANPR/images/N52.xml,234,422,254,294
/home/mothikaa/ANPR/images/N168.xml,271,474,514,561
/home/mothikaa/ANPR/images/N105.xml,360,434,174,195
/home/mothikaa/ANPR/images/N45.xml,107,256,147,180
/home/mothikaa/ANPR/images/N79.xml,113,277,288,347
/home/mothikaa/ANPR/images/N14.xml,1058,1351,660,756
/home/mothikaa/ANPR/images/N224.xml,164,272,223,247
/home/mothikaa/ANPR/images/N114.xml,15,200,33,126
/home/mothikaa/ANPR/images/N210.xml,143,337,210,254
/home/mothikaa/ANPR/images/N191.xml,317,568,319,397
/home/mothikaa/ANPR/images/N135.xml,157,341,197,247
/home/mothikaa/ANPR/images/N23.xml,107,201,264,288
/home/mothikaa/ANPR/images/N44.xml,113,257,282,322
/home/mothikaa/ANPR/images/N136.xml,787,910,473,513
/home/mothikaa/ANPR/images/N198.xml,214,335,138,169
/home/mothikaa/ANPR/images/N120.xml,647,736,332,387
/home/mothikaa/ANPR/images/N231.xml,581,700,273,319
/home/mothikaa/ANPR/images/N117.xml,120,249,161,202
/home/mothikaa/ANPR/images/N166.xml,809,1034,246,295
/home/mothikaa/ANPR/images/N21.xml,244,403,221,258
/home/mothikaa/ANPR/images/N203.xml,765,1258,821,905
/home/mothikaa/ANPR/images/N103.xml,813,1067,665,724
/home/mothikaa/ANPR/images/N196.xml,119,220,84,111
/home/mothikaa/ANPR/images/N38.xml,397,645,590,641
/home/mothikaa/ANPR/images/N129.xml,301,504,351,402
/home/mothikaa/ANPR/images/N15.xml,582,853,622,691
/home/mothikaa/ANPR/images/N27.xml,696,1061,546,677
/home/mothikaa/ANPR/images/N197.xml,120,184,103,130
/home/mothikaa/ANPR/images/N110.xml,183,249,211,227
/home/mothikaa/ANPR/images/N88.xml,208,370,89,173
/home/mothikaa/ANPR/images/N223.xml,69,585,79,183
/home/mothikaa/ANPR/images/N47.xml,161,313,212,259
/home/mothikaa/ANPR/images/N12.xml,976,1284,669,754
/home/mothikaa/ANPR/images/N209.xml,145,319,200,244
/home/mothikaa/ANPR/images/N220.xml,182,349,238,273
/home/mothikaa/ANPR/images/N226.xml,142,343,253,304
/home/mothikaa/ANPR/images/N53.xml,217,428,147,188
/home/mothikaa/ANPR/images/N102.xml,164,316,216,243
/home/mothikaa/ANPR/images/N46.xml,454,797,109,234
/home/mothikaa/ANPR/images/N7.xml,1149,1358,649,702
/home/mothikaa/ANPR/images/N16.xml,887,1173,625,696
/home/mothikaa/ANPR/images/N151.xml,144,277,216,252
/home/mothikaa/ANPR/images/N248.xml,288,429,248,281
/home/mothikaa/ANPR/images/N233.xml,99,223,20,50
/home/mothikaa/ANPR/images/N75.xml,466,740,680,737
/home/mothikaa/ANPR/images/N58.xml,221,430,190,231
/home/mothikaa/ANPR/images/N235.xml,44,656,128,391
/home/mothikaa/ANPR/images/N34.xml,576,902,487,596
/home/mothikaa/ANPR/images/N172.xml,147,370,133,184
/home/mothikaa/ANPR/images/N93.xml,385,746,293,434
/home/mothikaa/ANPR/images/N77.xml,361,566,190,297
/home/mothikaa/ANPR/images/N96.xml,137,352,141,186
/home/mothikaa/ANPR/images/N48.xml,156,335,259,303
/home/mothikaa/ANPR/images/N85.xml,163,302,357,427
/home/mothikaa/ANPR/images/N245.xml,192,364,279,319
/home/mothikaa/ANPR/images/N40.xml,328,580,208,254
/home/mothikaa/ANPR/images/N101.xml,31,139,128,161
/home/mothikaa/ANPR/images/N80.xml,248,372,116,144
/home/mothikaa/ANPR/images/N65.xml,1024,1273,611,680
/home/mothikaa/ANPR/images/N25.xml,132,235,169,193
/home/mothikaa/ANPR/images/N230.xml,271,484,332,384
/home/mothikaa/ANPR/images/N143.xml,115,524,144,296
/home/mothikaa/ANPR/images/N131.xml,198,349,107,143
/home/mothikaa/ANPR/images/N98.xml,563,675,207,238
